Cryptocurrency;Price in USD;Date
Bitcoin;49462.97127786744;25.04.2021
Ethereum;2267.381925641953;25.04.2021
Binance Coin;497.3502388019023;25.04.2021
Tether;0.9999449730878;25.04.2021
XRP;1.0461277491733;25.04.2021
Cardano;1.10791980473947;25.04.2021
Dogecoin;0.27032149510103;25.04.2021
Polkadot;30.05984382323474;25.04.2021
Uniswap;32.60324770958428;25.04.2021
Litecoin;225.64157379835623;25.04.2021
Bitcoin Cash;772.904036250066;25.04.2021
Chainlink;31.79548297868063;25.04.2021
VeChain;0.17744812580131;25.04.2021
USD Coin;1.0000353324169;25.04.2021
Solana;41.4167833054421;25.04.2021
Stellar;0.4256591984869;25.04.2021
THETA;9.20126322279524;25.04.2021
Filecoin;133.39921860443442;25.04.2021
Wrapped Bitcoin;49689.529659355525;25.04.2021
TRON;0.10430589387293;25.04.2021
Binance USD;1.00013533784157;25.04.2021
Monero;375.0101254912026;25.04.2021
Terra;16.30564763698344;25.04.2021
Neo;80.53655478650501;25.04.2021
Klaytn;2.05373937699221;25.04.2021
EOS;5.1970189064754;25.04.2021
IOTA;1.6849277401462;25.04.2021
PancakeSwap;28.2544128814654;25.04.2021
Bitcoin SV;238.8454777732151;25.04.2021
BitTorrent;0.00671204227995;25.04.2021
FTX Token;45.85206783481379;25.04.2021
Crypto.com Coin;0.16835127695731;25.04.2021
Aave;328.58745552574226;25.04.2021
Cosmos;18.74852622706258;25.04.2021
Maker;3910.514952447967;25.04.2021
Dai;1.00016458680076;25.04.2021
Tezos;4.54896327155303;25.04.2021
Ethereum Classic;29.64603605317168;25.04.2021
Algorand;1.15063761747621;25.04.2021
Huobi Token;17.22719117890607;25.04.2021
Avalanche;22.27470353097716;25.04.2021
Compound;554.97431721688;25.04.2021
Bitcoin BEP2;49483.34858034753;25.04.2021
Dash;263.2428851257851;25.04.2021
THORChain;11.26433158737446;25.04.2021
Elrond;151.32652790849522;25.04.2021
Kusama;308.76986600696006;25.04.2021
NEM;0.28013669429904;25.04.2021
Decred;185.1528083509614;25.04.2021
Zcash;202.80091825231352;25.04.2021
Chiliz;0.40181179504849;25.04.2021
UNUS SED LEO;2.24251528991152;25.04.2021
Holo;0.01250251241409;25.04.2021
Hedera Hashgraph;0.25570838632384;25.04.2021
Stacks;1.8309303857459;25.04.2021
Polygon;0.37068740918372;25.04.2021
Nexo;3.33078849448859;25.04.2021
TerraUSD;0.99847637090027;25.04.2021
Decentraland;1.11825249624296;25.04.2021
Enjin Coin;2.11862180115753;25.04.2021
Zilliqa;0.14895323909131;25.04.2021
NEAR Protocol;4.59152306276492;25.04.2021
Synthetix;14.00208820644262;25.04.2021
DigiByte;0.11247846535217;25.04.2021
The Graph;1.28273539617026;25.04.2021
Basic Attention Token;1.05377427568363;25.04.2021
Siacoin;0.03210341998053;25.04.2021
yearn.finance;40555.18389492015;25.04.2021
Celsius;6.08523093884761;25.04.2021
Bitcoin Gold;80.71386525761544;25.04.2021
SushiSwap;11.10387804894538;25.04.2021
Waves;13.40908070083166;25.04.2021
Theta Fuel;0.25098857369223;25.04.2021
Celo;6.07267662976708;25.04.2021
UMA;20.72125578137104;25.04.2021
Qtum;12.24332365568125;25.04.2021
Horizen;108.34677713742246;25.04.2021
Ravencoin;0.13669617523263;25.04.2021
Ontology;1.40350424410064;25.04.2021
Revain;0.01293427603345;25.04.2021
ICON;1.79281243981269;25.04.2021
0x;1.36204061963852;25.04.2021
SwissBorg;1.05752292825196;25.04.2021
Bancor;5.83944138342952;25.04.2021
Helium;12.83923109863576;25.04.2021
OKB;16.54926321998139;25.04.2021
Nano;7.43768009176172;25.04.2021
Flow;27.7827783378497;25.04.2021
Harmony;0.09994516273007;25.04.2021
Reserve Rights;0.0710559741634;25.04.2021
Paxos Standard;0.99911114908495;25.04.2021
Ankr;0.12848274609868;25.04.2021
OMG Network;6.37357395105103;25.04.2021
KuCoin Token;10.78889581897547;25.04.2021
Arweave;23.54068255130912;25.04.2021
IOST;0.0474539563096;25.04.2021
Ren;0.76529036401103;25.04.2021
Fantom;0.29791644983046;25.04.2021
WazirX;2.53683714851869;25.04.2021
